BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
818579,RUPAY,DEBIT,CLASSIC,,,,IN,IND,INDIA
818580,RUPAY,DEBIT,PLATINUM,,,,IN,IND,INDIA
818581,RUPAY,DEBIT,PREPAID PLATINUM,,,,IN,IND,INDIA
818582,RUPAY,DEBIT,PREPAID RELOADABLE,,,,IN,IND,INDIA
818583,RUPAY,DEBIT,PREPAID PLATINUM,,,,IN,IND,INDIA
818584,RUPAY,DEBIT,PREPAID RELOADABLE,,,,IN,IND,INDIA
818585,RUPAY,DEBIT,PREPAID RELOADABLE,,,,IN,IND,INDIA
818586,RUPAY,DEBIT,PREPAID PLATINUM,,,,IN,IND,INDIA
818587,RUPAY,DEBIT,PREPAID RELOADABLE,,,,IN,IND,INDIA
818588,RUPAY,DEBIT,CLASSIC,IDUKKI DISTRICT CO-OPERATIVE BANK,,,IN,IND,INDIA
818589,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818590,RUPAY,DEBIT,CLASSIC,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818591,RUPAY,DEBIT,CLASSIC,INDIA POST PAYMENTS BANK,,,IN,IND,INDIA
818592,RUPAY,DEBIT,CLASSIC,PUNJAB NATIONAL BANK,9.118E+12,https://www.pnbindia.in,IN,IND,INDIA
818593,RUPAY,DEBIT,PREPAID RELOADABLE,RBL BANK,9.12261E+11,https://www.rblbank.com,IN,IND,INDIA
818594,RUPAY,DEBIT,CLASSIC,INDIAN BANK,9.118E+13,http://www.indianbank.in,IN,IND,INDIA
818595,RUPAY,DEBIT,PLATINUM,INDIAN BANK,9.118E+13,http://www.indianbank.in,IN,IND,INDIA
818596,RUPAY,DEBIT,PMJDY,INDIAN BANK,9.118E+13,http://www.indianbank.in,IN,IND,INDIA
818597,RUPAY,DEBIT,PREPAID,INDIAN BANK,9.118E+13,http://www.indianbank.in,IN,IND,INDIA
818598,RUPAY,DEBIT,CLASSIC,BANK OF INDIA,9.118E+12,https://www.bankofindia.co.in,IN,IND,INDIA
818599,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818600,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818601,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818602,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818603,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818604,RUPAY,DEBIT,CLASSIC,BANK OF MAHARASHTRA,9.118E+12,http://www.bankofmaharashtra.in,IN,IND,INDIA
818605,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818606,RUPAY,DEBIT,CLASSIC,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818607,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818608,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818609,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818610,RUPAY,DEBIT,PLATINUM,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818611,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818612,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818613,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818614,RUPAY,DEBIT,CLASSIC,JAMMU AND KASHMIR BANK,,,IN,IND,INDIA
818615,RUPAY,DEBIT,PMJDY,JAMMU AND KASHMIR BANK,,,IN,IND,INDIA
818616,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818617,RUPAY,DEBIT,CLASSIC,WEST BENGAL STATE CO-OPERATIVE BANK,,,IN,IND,INDIA
818618,RUPAY,DEBIT,CLASSIC,JANA SMALL FINANCE BANK,,,IN,IND,INDIA
818619,RUPAY,DEBIT,PREPAID,JANA SMALL FINANCE BANK,,,IN,IND,INDIA
818620,RUPAY,DEBIT,PREPAID PLATINUM,JANA SMALL FINANCE BANK,,,IN,IND,INDIA
818621,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818622,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818623,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818624,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818625,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818626,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818627,RUPAY,DEBIT,CLASSIC,JANASEVA SAHAKARI BANK,,,IN,IND,INDIA
818628,RUPAY,DEBIT,PLATINUM,JANASEVA SAHAKARI BANK,,,IN,IND,INDIA
818629,RUPAY,DEBIT,CLASSIC,JANAKALYAN SAHAKARI BANK,,,IN,IND,INDIA
818630,RUPAY,DEBIT,PLATINUM,JANAKALYAN SAHAKARI BANK,,,IN,IND,INDIA
818631,RUPAY,DEBIT,CLASSIC,JANATA SAHAKARI BANK (PUNE),,,IN,IND,INDIA
818632,RUPAY,DEBIT,PLATINUM,JANATA SAHAKARI BANK (PUNE),,,IN,IND,INDIA
818633,RUPAY,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
818634,RUPAY,DEBIT,CLASSIC,THANE JANATA SAHAKARI BANK,,,IN,IND,INDIA
818635,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818636,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818637,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818638,RUPAY,DEBIT,CLASSIC,BANK OF INDIA,9.118E+12,https://www.bankofindia.co.in,IN,IND,INDIA
818639,RUPAY,DEBIT,CLASSIC,BANK OF INDIA,9.118E+12,https://www.bankofindia.co.in,IN,IND,INDIA
818640,RUPAY,DEBIT,CLASSIC,BANK OF INDIA,9.118E+12,https://www.bankofindia.co.in,IN,IND,INDIA
818641,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818642,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818643,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818644,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818645,RUPAY,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
818646,RUPAY,DEBIT,PMJDY,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
818647,RUPAY,DEBIT,PLATINUM,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
818648,RUPAY,DEBIT,CLASSIC,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818649,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818650,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818651,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818652,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818653,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818654,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818655,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818656,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818657,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818658,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818659,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818660,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818661,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818662,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818663,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818664,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818665,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818666,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818667,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818668,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818669,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818670,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818671,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818672,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818673,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818674,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818675,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818676,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818677,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818678,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818679,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818680,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
